"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Conservation","Invasive"
"http://id.biodiversity.org.au/node/apni/2892673","Corymbia calophylla","(Lindl.) K.D.Hill & L.A.S.Johnson","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Corymbia",,"",""
"http://id.biodiversity.org.au/node/apni/2911572","Jacaranda mimosifolia","D.Don","species","Plantae","Charophyta","Equisetopsida","Lamiales","Bignoniaceae","Jacaranda","Jacaranda","Queensland : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2913234","Banksia attenuata","R.Br.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Banksia","Slender Banksia","",""
"http://id.biodiversity.org.au/node/apni/2915885","Ptilotus obovatus","(Gaudich.) F.Muell.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Amaranthaceae","Ptilotus",,"Queensland : Conservation Status|Victoria : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2896043","Banksia grandis","Willd.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Banksia","Bull Banksia","",""
"http://id.biodiversity.org.au/node/apni/2889947","Senna artemisioides","(Gaudich. ex DC.) Randell","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Senna",,"Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2906879","Eucalyptus loxophleba","Benth.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"",""
"http://id.biodiversity.org.au/node/apni/2912367","Hardenbergia comptoniana","(Andrews) Benth.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Hardenbergia",,"",""
"http://id.biodiversity.org.au/node/apni/2889663","Nuytsia floribunda","(Labill.) R.Br. ex G.Don","species","Plantae","Charophyta","Equisetopsida","Santalales","Loranthaceae","Nuytsia","Western Australian Christmas Tree","",""
"http://id.biodiversity.org.au/node/apni/2907367","Hypochaeris glabra","L.","species","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Hypochaeris","Smooth Catsear","Queensland : Conservation Status|Northern Territory : Conservation Status","Non-native species|Global Invasive Species Information Network (GISIN)"
"http://id.biodiversity.org.au/node/apni/2886511","Austrostipa elegantissima","(Labill.) S.W.L.Jacobs & J.Everett","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Austrostipa","Feather Spear-Grass","",""
"http://id.biodiversity.org.au/node/apni/2897859","Eremophila latrobei","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Scrophulariaceae","Eremophila",,"Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2896211","Calothamnus quadrifidus","R.Br.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Calothamnus",,"",""
"http://id.biodiversity.org.au/node/apni/2890936","Drosera macrantha","Endl.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Droseraceae","Drosera",,"",""
"http://id.biodiversity.org.au/node/apni/2901023","Solanum lasiophyllum","Dunal ex Poir.","species","Plantae","Charophyta","Equisetopsida","Solanales","Solanaceae","Solanum",,"Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2918704","Acacia saligna","(Labill.) H.L.Wendl.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Acacia","Blue-Leaved Wattle","Queensland : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2891608","Scaevola spinescens","R.Br.","species","Plantae","Charophyta","Equisetopsida","Asterales","Goodeniaceae","Scaevola",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2916273","Trachymene pilosa","Sm.","species","Plantae","Charophyta","Equisetopsida","Apiales","Araliaceae","Trachymene",,"",""
"http://id.biodiversity.org.au/node/apni/2912563","Ptilotus nobilis","(Lindl.) F.Muell.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Amaranthaceae","Ptilotus",,"Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/2918620","Hibbertia hypericoides","(DC.) Benth.","species","Plantae","Charophyta","Equisetopsida",,"Dilleniaceae","Hibbertia",,"",""
"http://id.biodiversity.org.au/node/apni/2897886","Drosera menziesii","R.Br. ex DC.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Droseraceae","Drosera",,"",""
"http://id.biodiversity.org.au/node/apni/2896531","Acacia tetragonophylla","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Acacia",,"Queensland : Conservation Status|Northern Territory : Conservation Status",""
"http://id.biodiversity.org.au/node/apni/6283310","Conostylis aculeata","R.Br.","species","Plantae","Charophyta","Equisetopsida","Commelinales","Haemodoraceae","Conostylis","Prickly Conostylis","",""
"http://id.biodiversity.org.au/node/apni/2915606","Neurachne alopecuroidea","R.Br.","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Neurachne",,"",""
"http://id.biodiversity.org.au/node/apni/7645007","Eucalyptus marginata","Donn ex Sm.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus",,"",""
