"taxon_url","scientificName_short","recordedBy","taxonRank","kingdom","phylum","class","order","family","genus","vernacularName","Invasive","scientificName"
"http://id.biodiversity.org.au/node/apni/2911572","Jacaranda mimosifolia","D.Don","species","Plantae","Charophyta","Equisetopsida","Lamiales","Bignoniaceae","Jacaranda","Jacaranda","","Jacaranda mimosifolia D.Don"
"http://id.biodiversity.org.au/node/apni/2889947","Senna artemisioides","(Gaudich. ex DC.) Randell","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Senna","","","Senna artemisioides (Gaudich. ex DC.) Randell"
"http://id.biodiversity.org.au/node/apni/2889663","Nuytsia floribunda","(Labill.) R.Br. ex G.Don","species","Plantae","Charophyta","Equisetopsida","Santalales","Loranthaceae","Nuytsia","Western Australian Christmas Tree","","Nuytsia floribunda (Labill.) R.Br. ex G.Don"
"http://id.biodiversity.org.au/node/apni/2896211","Calothamnus quadrifidus","R.Br.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Calothamnus","","","Calothamnus quadrifidus R.Br."
"http://id.biodiversity.org.au/node/apni/2901023","Solanum lasiophyllum","Dunal ex Poir.","species","Plantae","Charophyta","Equisetopsida","Solanales","Solanaceae","Solanum","","","Solanum lasiophyllum Dunal ex Poir."
"http://id.biodiversity.org.au/node/apni/2912563","Ptilotus nobilis","(Lindl.) F.Muell.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Amaranthaceae","Ptilotus","","","Ptilotus nobilis (Lindl.) F.Muell."
"http://id.biodiversity.org.au/node/apni/2897886","Drosera menziesii","R.Br. ex DC.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Droseraceae","Drosera","","","Drosera menziesii R.Br. ex DC."
"http://id.biodiversity.org.au/node/apni/7645007","Eucalyptus marginata","Donn ex Sm.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","","","Eucalyptus marginata Donn ex Sm."
"http://id.biodiversity.org.au/node/apni/2893218","Allocasuarina humilis","(Otto & A.Dietr.) L.A.S.Johnson","species","Plantae","Charophyta","Equisetopsida","Fagales","Casuarinaceae","Allocasuarina","","","Allocasuarina humilis (Otto & A.Dietr.) L.A.S.Johnson"
"http://id.biodiversity.org.au/node/apni/2901796","Daucus glochidiatus","(Labill.) Fisch., C.A.Mey. & Ave-Lall.","species","Plantae","Charophyta","Equisetopsida","Apiales","Apiaceae","Daucus","Australian Carrot","","Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall."
"http://id.biodiversity.org.au/node/apni/2921021","Eucalyptus oleosa","F.Muell. ex Miq.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","","","Eucalyptus oleosa F.Muell. ex Miq."
"http://id.biodiversity.org.au/node/apni/2898810","Eucalyptus flocktoniae","(Maiden) Maiden","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","","","Eucalyptus flocktoniae (Maiden) Maiden"
"http://id.biodiversity.org.au/node/apni/2893639","Eucalyptus leptopoda","Benth.","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Tammin Mallee","","Eucalyptus leptopoda Benth."
